id,provider,name,subdivision_name,municipality,direct_download_url,latest_url,status,min_lat,max_lat,min_lon,max_lon
mdb-1,Casco Bay Lines,,Maine,Portland,http://smttracker.com/downloads/gtfs/cascobaylines-portland-me-usa.zip,https://files.mobilitydatabase.org/mdb-1/latest.zip,active,43.6554627,43.7163196,-70.248374,-70.1099246
mdb-4,Athens Public Transit,,Ohio,Athens,https://openmobilitydata-data.s3.us-west-1.amazonaws.com/public/feeds/athens-public-transit/298/20160926/gtfs.zip,,deprecated,,,,
mdb-5,St Lawrence County Public Transit,,New York,Saint Lawrence County,https://s3.amazonaws.com/datatools-511ny/public/St_Lawrence_County_Public_Transit.zip,https://files.mobilitydatabase.org/mdb-5/latest.zip,deprecated,44.308467,44.979147017,-75.75756393,-74.611761
mdb-10,TheBus,,Hawaii,,http://webapps.thebus.org/transitdata/Production/google_transit.zip,https://files.mobilitydatabase.org/mdb-10/latest.zip,deprecated,21.255957,21.70332,-158.228463,-157.662429
mdb-11,Amtrak,,California,Los Angeles County,https://content.amtrak.com/content/gtfs/GTFS.zip,https://files.mobilitydatabase.org/mdb-11/latest.zip,active,25.849554,54.77395978,-124.16933,-69.965541
mdb-12,Avalon Transit,,California,Avalon,http://data.trilliumtransit.com/gtfs/avalon-ca-us/avalon-ca-us.zip,https://files.mobilitydatabase.org/mdb-12/latest.zip,inactive,33.3265468093768,33.35083600387301,-118.340356050519,-118.32185964799
mdb-13,"San Diego International Airport, Metropolitan Transit System (MTS)",,California,San Diego County,https://www.sdmts.com/google_transit_files/google_transit.zip,https://files.mobilitydatabase.org/mdb-13/latest.zip,active,32.54281914,33.2568868,-117.27792366,-116.18445788
mdb-14,North County Transit District (NCTD),,California,Carlsbad,http://www.gonctd.com/google_transit.zip,https://files.mobilitydatabase.org/mdb-14/latest.zip,inactive,32.716895,33.394164,-117.514206,-116.869776
mdb-15,Orange County Transportation Authority (OCTA),,California,Anaheim,https://www.octa.net/current/google_transit.zip,https://files.mobilitydatabase.org/mdb-15/latest.zip,active,33.396269,33.939472,-118.119155,-117.577689
mdb-16,Laguna Beach Transit (LBT),,California,Laguna Beach,http://data.trilliumtransit.com/gtfs/lagunabeach-ca-us/lagunabeach-ca-us.zip,https://files.mobilitydatabase.org/mdb-16/latest.zip,active,33.476315,33.656174386297735,-117.799868,-117.716808
mdb-17,Yuma County Intergovernmental Public Transportation Authority (YCIPTA),,Arizona,San Luis,http://www.ycipta.org/gtfs/google_transit.zip,https://files.mobilitydatabase.org/mdb-17/latest.zip,active,32.484682743136176,32.79171205546877,-115.56963801383972,-114.1335509410652
mdb-18,Palo Verde Valley Transit Agency,,California,,http://data.trilliumtransit.com/gtfs/paloverde_valley-ca-us/paloverde_valley-ca-us.zip,https://files.mobilitydatabase.org/mdb-18/latest.zip,deprecated,33.521321,33.83888769,-116.5437887,-114.517118
mdb-19,Humboldt Transit Authority,,California,Arcata,http://data.trilliumtransit.com/gtfs/humboldtcounty-ca-us/humboldtcounty-ca-us.zip,https://files.mobilitydatabase.org/mdb-19/latest.zip,deprecated,39.1533019,41.06145518545524,-124.223416986081,-123.19884215396728
mdb-20,Redwood Coast Transit (RCT),,California,Del Norte County,http://data.trilliumtransit.com/gtfs/delnorte-ca-us/delnorte-ca-us.zip,https://files.mobilitydatabase.org/mdb-20/latest.zip,active,40.781145559,41.956908495083496,-124.216937405798,-123.96551954304
mdb-21,Coos County Area Transit (CCAT),,Oregon,Coos County,https://oregon-gtfs.trilliumtransit.com/gtfs_data/cooscounty-or-us/cooscounty-or-us.zip,https://files.mobilitydatabase.org/mdb-21/latest.zip,active,42.87881944,43.9847294038583,-124.434431,-123.345208
mdb-22,Curry Public Transit,,Oregon,Coos Bay,https://oregon-gtfs.trilliumtransit.com/gtfs_data/currypublictransit-or-us/currypublictransit-brookings-or-us.zip,https://files.mobilitydatabase.org/mdb-22/latest.zip,active,41.9336420175064,43.41605710733381,-124.4975959721118,-124.1641857951742
mdb-23,Lincoln County Transit (LCT),,Oregon,Albany,https://oregon-gtfs.trilliumtransit.com/gtfs_data/lincolncounty-or-us/lincolncounty-or-us.zip,https://files.mobilitydatabase.org/mdb-23/latest.zip,active,44.3116263048855,45.01935811,-124.105422953253,-123.10286
mdb-24,Rhody Express,,Oregon,Florence,https://oregon-gtfs.trilliumtransit.com/gtfs_data/rhodyexpress-or-us/rhodyexpress-or-us.zip,https://files.mobilitydatabase.org/mdb-24/latest.zip,active,43.96632921581482,44.00783688,-124.1178985,-124.086991158899
